id,x,y,z,D
144,-41204.59,28027.87,2400.10,2055.5
145,-11749.56,23967.58,65.13,1771.4
146,-51721.51,29783.59,3497.31,5228.4
147,-58842.45,27806.51,3342.23,2139.0
148,-56852.65,27842.90,3323.27,6619.8
149,-48235.40,24216.23,2212.98,12426.6
150,-47309.23,17108.43,1391.12,3405.6
151,-51390.25,16013.76,1542.98,1307.9
152,-57231.23,12283.99,3777.08,1651.8
153,-60041.30,13360.47,4451.87,1302.3
154,-61014.79,12405.28,4648.71,1589.9
155,-63687.40,19282.62,3463.41,1103.3
156,-64829.91,15449.75,3731.77,4682.0
157,-65846.22,13772.87,4290.00,1286.8
158,-67347.03,14309.59,4239.38,1232.6
159,-68748.68,13615.18,4144.20,2011.9
160,-69032.62,17211.53,3660.06,3000.0
161,-72144.65,19040.03,3438.69,1087.9
162,-74253.90,21059.57,3545.20,1339.1
163,-66150.44,28218.91,2684.24,2566.8
164,-50272.53,22918.39,2246.43,2326.8
165,-53769.91,19149.20,2480.62,1677.7
166,-63133.05,12062.63,4602.39,3203.6
167,-66549.30,12308.25,4394.62,1069.0
168,-66740.85,10980.09,4307.65,3237.4
169,-67036.05,13120.91,4340.51,1447.4
170,-73706.30,14570.37,4258.71,1248.3
171,-72034.23,14103.39,4341.93,1324.7
172,-72511.97,17311.60,3954.09,2918.4
173,-71495.66,15571.04,4409.06,1467.1
174,-37249.76,27093.91,1786.58,1835.1
175,-64111.05,7853.75,4116.01,4093.5
176,-65607.35,9715.60,4530.38,1292.9
177,-64361.19,9888.44,4527.87,1349.7
178,-62299.27,10252.32,4615.54,1182.3
179,-70592.02,8223.69,4033.78,1722.0
180,-72566.05,9015.13,3892.55,3286.4
181,-75195.84,8445.05,4088.17,1842.3
182,-74253.90,6659.01,3817.40,2603.5
183,-79218.28,6088.93,4010.62,1272.6
184,-79283.63,8554.22,4241.89,1715.1
185,-81381.60,9057.58,4356.25,1061.5
186,-81809.76,7562.64,4193.62,2339.3
187,-83463.80,8172.14,4238.13,1623.6
188,-82880.16,9354.75,4412.86,2060.4
189,-85320.66,8536.02,4189.19,2262.8
190,-86704.28,9327.46,4444.27,1042.1
191,-86508.23,11674.49,4165.96,2727.5
192,-88322.27,9682.25,4190.97,2243.9
193,-84577.01,5433.94,4428.93,1435.8
194,-85561.78,16377.64,4198.34,2633.6
195,-82262.71,13439.31,4359.11,1231.8
196,-82059.90,12274.89,4502.50,1637.3
197,-84660.39,10786.02,4389.15,2370.3
198,-85230.52,13205.82,4533.64,1659.3
199,-81821.03,14458.17,4219.69,5092.8
200,-80385.57,16893.14,4148.70,4187.9
201,-79801.92,19413.01,4287.31,1683.2
202,-82116.23,19403.91,4384.58,2431.1
203,-83988.86,18036.33,4274.45,3449.3
204,-76385.67,17320.70,4289.62,1879.1
205,-86355.00,29926.11,4210.15,4512.5
206,-86107.12,27178.82,4496.95,1479.6
207,-85913.32,25765.75,4387.73,1490.4
208,-88414.66,25295.74,4214.17,1398.4
209,-92677.99,24289.00,4126.01,1990.0
210,-92974.32,21617.52,4056.60,1278.9
211,-90548.02,29847.27,4293.92,4476.6
212,-93322.03,27072.69,4154.94,1124.5
213,-75378.37,28852.67,2641.23,1278.9
214,-73562.08,29644.11,2770.63,1496.7
215,-69300.78,28422.08,2658.29,1982.8
216,-73688.28,25050.12,3185.70,1516.0
217,-74578.39,26469.25,3020.30,1262.9
218,-83887.45,22490.83,4325.48,1677.4
219,-96356.32,23391.43,3588.50,5034.0
220,-77354.66,9724.70,4289.64,1551.4
221,-100379.21,23906.93,3827.66,2963.7
222,-100086.26,21468.93,3285.45,4036.1
223,-103437.83,22554.51,4103.74,3476.3
224,-105478.34,8317.70,2422.86,2614.9
225,-103588.59,6665.07,2707.34,2710.7
226,-106956.84,20049.80,4301.82,3391.3
227,-109271.83,18764.09,4500.68,1928.7
228,-108988.34,23791.70,4142.73,2640.5
229,-107186.02,27175.79,4127.77,1097.7
230,-106258.94,22527.22,4296.39,1189.1
231,-109268.00,-10385.75,371.41,1458.8
232,-104323.44,3690.35,2338.27,1531.0
233,-100591.03,-4360.50,1035.11,1038.6
234,-98342.07,-9027.26,979.30,3222.0
235,-101186.62,-7805.23,895.00,1220.5
236,-100776.04,-10012.77,803.02,1466.8
237,-106713.47,-6355.77,293.68,1206.8
238,-89277.74,-6480.10,3362.92,1841.0
239,-89627.03,-7653.61,3283.36,1976.8
240,-87932.42,-7341.28,3689.17,1585.2
241,-86400.07,-7541.42,3885.03,2095.6
242,-92797.88,-15665.04,2073.43,1434.6
243,-98829.27,-17933.23,1025.41,4251.1
244,-101919.22,-19688.95,971.34,1684.7
245,-101801.82,-23088.20,1146.71,1641.8
246,-93515.15,-22709.16,2286.01,2447.2
247,-89460.27,-23797.77,3277.85,6215.2
248,-102049.47,-27342.57,1362.16,3702.8
249,-81343.29,-18585.18,4286.99,1806.7
250,-85597.83,-22245.21,4370.21,1364.2
251,-83263.24,-20719.95,3756.05,6567.5
252,-82783.26,-14203.46,4158.91,3518.5
253,-84209.70,-11692.68,4341.34,1050.3
254,-84320.12,-12917.75,4458.22,1207.9
255,-82168.06,-12174.83,4347.42,1498.1
256,-81050.34,-11904.95,4419.75,1009.9
257,-81003.02,-9764.12,4455.21,1519.2
258,-80317.97,-8317.70,4359.16,1624.9
259,-80486.98,-6616.56,4320.92,2203.9
260,-82228.90,-7298.83,4495.00,1727.3
261,-83123.53,-5931.25,4470.54,1421.8
262,-84586.03,-2704.84,4337.25,1474.4
263,-85807.41,-1974.05,4429.62,1324.6
264,-89052.39,-2022.57,3804.54,3204.4
265,-87026.53,3841.97,4640.50,2400.3
266,-85807.41,5858.47,4429.80,3433.4
267,-90368.64,2377.35,4070.65,1766.7
268,-96866.06,1328.16,3057.94,2409.9
269,-94114.58,1206.87,3506.34,1363.3
270,-92732.08,218.33,3666.87,2258.2
271,-92040.94,133.42,3797.29,3933.8
272,-85018.69,-3757.06,4086.21,3113.9
273,-83779.29,-1097.71,4172.58,2310.2
274,-85045.73,-348.72,4431.51,1245.8
275,-84513.92,1519.20,4440.77,2454.3
276,-83312.82,-2777.62,4393.49,1134.2
277,-82742.69,-4172.49,4459.46,1213.0
278,-81633.99,-5218.65,4394.98,1937.8
279,-86406.83,-10164.39,3737.29,2264.1
280,-85226.01,-8460.21,4083.26,1194.0
281,-91900.10,-12347.67,2370.31,1340.1
282,-93403.38,-14327.78,2026.55,1199.6
283,-95738.65,-12760.07,1548.79,1920.1
284,-97507.17,-14109.45,1232.31,1744.0
285,-95296.97,-15649.88,1607.07,4079.4
286,-77636.35,2544.13,3601.31,3584.7
287,-80879.08,2750.33,4212.12,1563.6
288,-78652.66,-1870.95,4138.63,1454.6
289,-78659.42,-670.15,4198.63,1175.6
290,-76448.77,1043.12,3692.20,1689.9
291,-75716.39,297.17,3759.81,4597.2
292,-74571.63,2850.39,3941.98,1406.4
